City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Tahta,EG,26.77,31.5,91.4,21,0,5.82,clear sky
201,Quelimane,MZ,-17.88,36.89,78.44,76,2,10.69,clear sky
202,Harboore,DK,56.62,8.18,48.0,84,100,1.01,overcast clouds
203,Lata,PT,40.16,-8.33,61.0,96,100,1.99,light rain
204,San Cristobal,VE,7.77,-72.22,89.6,49,40,10.29,scattered clouds
205,Rocha,UY,-34.48,-54.33,49.77,95,100,12.95,moderate rain
206,Onokhoy,RU,51.93,108.07,24.8,68,40,8.95,scattered clouds
207,Erenhot,CN,43.65,111.98,31.77,80,91,21.25,overcast clouds
208,Lebu,CL,-37.62,-73.65,54.23,63,0,19.84,clear sky
209,Codrington,AU,-38.27,141.97,46.38,88,100,3.0,overcast clouds
210,Upernavik,GL,72.79,-56.15,33.03,88,100,8.34,overcast clouds
211,Manaus,BR,-3.1,-60.02,89.6,66,75,2.24,light rain
212,Cherskiy,RU,68.75,161.3,17.94,95,62,4.9,broken clouds
213,Yumen,CN,40.28,97.2,46.27,45,0,8.75,clear sky
214,Victoria,HK,22.29,114.16,73.99,69,36,3.0,scattered clouds
215,Butaritari,KI,3.07,172.79,82.17,72,93,8.55,light rain
216,Ukiah,US,39.15,-123.21,80.01,48,1,2.75,clear sky
217,Mabamba,TZ,-3.6,30.5,67.24,90,100,4.79,moderate rain
218,Ajdabiya,LY,30.76,20.23,72.23,60,0,15.68,clear sky
219,Mounana,GA,-1.41,13.16,82.4,69,20,4.7,few clouds
220,Baykit,RU,61.67,96.37,22.87,96,91,1.21,overcast clouds
221,Bilibino,RU,68.05,166.44,21.47,95,100,1.54,overcast clouds
222,Aviles,ES,43.55,-5.92,61.0,93,40,2.24,moderate rain
223,Turayf,SA,31.67,38.66,75.2,17,0,6.93,clear sky
224,Saint George,US,37.1,-113.58,64.4,17,1,0.58,clear sky
225,Hobe Sound,US,27.06,-80.14,84.2,70,40,13.87,scattered clouds
226,Waipawa,NZ,-41.41,175.52,51.8,87,100,6.93,overcast clouds
227,Fangshan,CN,39.7,115.99,63.0,64,53,1.01,broken clouds
228,Ayan,RU,56.45,138.17,33.37,77,84,1.48,broken clouds
229,Anshun,CN,26.25,105.93,47.43,90,100,6.93,overcast clouds
230,Virginia Beach,US,36.85,-75.98,75.2,73,75,9.17,broken clouds
231,Taunggyi,MM,20.78,97.03,57.69,100,39,2.42,scattered clouds
232,Nuevo Progreso,MX,23.17,-97.95,86.0,55,3,4.0,clear sky
233,Talnakh,RU,69.49,88.4,8.6,84,75,4.47,broken clouds
234,Eenhana,NA,-17.47,16.33,96.8,7,7,2.24,clear sky
235,Mandya,IN,12.52,76.9,70.52,92,100,8.08,moderate rain
236,Santa Maria,BR,-29.68,-53.81,86.4,49,0,10.83,clear sky
237,Saldanha,ZA,-33.01,17.94,64.4,52,0,17.22,clear sky
238,Jiuquan,CN,39.74,98.52,40.87,55,8,1.5,clear sky
239,Taoudenni,ML,22.68,-3.98,88.02,15,0,9.15,clear sky
240,Nhulunbuy,AU,-12.23,136.77,73.4,88,32,2.24,scattered clouds
241,Kitimat,CA,54.05,-128.65,43.0,90,98,2.44,light rain
242,San Patricio,US,28.02,-97.52,87.8,58,75,10.29,broken clouds
243,Meulaboh,ID,4.14,96.13,77.67,86,49,4.5,scattered clouds
244,Port Macquarie,AU,-31.43,152.92,55.0,99,18,3.91,few clouds
245,Provideniya,RU,64.38,-173.3,39.47,95,87,12.62,moderate rain
246,Hargeysa,SO,9.56,44.06,70.68,41,0,9.93,clear sky
247,Samut Sakhon,TH,13.58,100.3,77.0,77,100,9.24,overcast clouds
248,Chernolesskoye,RU,44.72,43.71,55.96,63,100,8.95,overcast clouds
249,Westport,US,41.14,-73.36,66.99,82,90,3.36,overcast clouds
250,Banjarmasin,ID,-3.32,114.59,75.67,84,88,1.68,overcast clouds
251,Praya,CV,14.92,-23.51,89.6,59,99,13.87,overcast clouds
252,Sorland,NO,67.67,12.69,41.0,68,75,12.75,broken clouds
253,Whyalla,AU,-33.03,137.58,62.6,77,75,8.05,heavy intensity rain
254,Broome,US,42.25,-75.83,60.01,93,90,8.05,overcast clouds
255,Roald,NO,62.58,6.13,41.0,86,75,11.41,light rain
256,Grand-Santi,GF,4.25,-54.38,100.35,24,65,4.63,broken clouds
257,Aktyubinskiy,RU,54.81,52.81,35.51,85,33,7.72,scattered clouds
258,Erzin,TR,36.96,36.2,78.01,68,20,1.7,few clouds
259,Olafsvik,IS,64.89,-23.71,41.9,88,100,10.45,overcast clouds
260,Anjozorobe,MG,-18.4,47.87,64.4,82,20,11.41,few clouds
261,Ambovombe,MG,-25.17,46.08,70.74,88,0,2.89,clear sky
262,Kasempa,ZM,-13.46,25.83,74.08,21,0,3.89,clear sky
263,Yakeshi,CN,49.28,120.73,36.09,81,67,4.05,broken clouds
264,Makakilo City,US,21.35,-158.09,80.6,74,20,12.75,few clouds
265,Piranshahr,IR,36.7,45.14,50.5,46,63,0.92,broken clouds
266,Areosa,PT,41.72,-8.86,60.01,100,40,14.34,scattered clouds
267,Tateyama,JP,34.98,139.87,60.8,77,20,13.87,few clouds
268,Carmaux,FR,44.05,2.16,64.99,69,99,11.99,overcast clouds
269,Katsuura,JP,35.13,140.3,60.8,77,20,13.87,few clouds
270,Carutapera,BR,-1.2,-46.02,87.6,57,99,12.5,overcast clouds
271,Saint-Joseph,RE,-21.37,55.62,73.4,73,20,5.82,few clouds
272,Ahualulco,MX,22.4,-101.17,68.0,49,5,3.36,clear sky
273,Fairbanks,US,64.84,-147.72,14.0,85,90,1.12,light shower snow
